"Timestamp","What is your age group? ","How often do you play video games? ","Which gaming platform do you use most?  ","What genre do you enjoy the most? "
"2024/09/17 4:02:53 PM AST","18-24","A few times a week","PC/laptop","First Person Shooter/Third Person Shooter"
"2024/09/17 4:07:49 PM AST","18-24","A few times a week","XBOX","Roleplaying Games (RPG)"
"2024/09/17 4:13:31 PM AST","18-24","A few times a week","Playstation","Roleplaying Games (RPG)"
"2024/09/17 4:40:46 PM AST","18-24","A few times a week","Playstation","Simulation"
"2024/09/17 5:04:46 PM AST","18-24","A few times a month","Mobile phone","Other"
"2024/09/17 5:14:42 PM AST","25-34","A few times a month","Other","Simulation"
"2024/09/17 5:31:19 PM AST","18-24","A few times a week","PC/laptop","Simulation"
"2024/09/17 5:34:27 PM AST","18-24","A few times a week","Playstation","Roleplaying Games (RPG)"
"2024/09/17 6:04:26 PM AST","18-24","A few times a month","Playstation","Sports"
"2024/09/17 6:08:06 PM AST","18-24","A few times a week","Other","Roleplaying Games (RPG)"
"2024/09/17 6:08:09 PM AST","18-24","Once a week","Mobile phone","Roleplaying Games (RPG)"
"2024/09/17 7:15:28 PM AST","18-24","A few times a month","PC/laptop","Other"
"2024/09/17 7:20:59 PM AST","18-24","A few times a week","PC/laptop","First Person Shooter/Third Person Shooter"
"2024/09/17 7:59:47 PM AST","25-34","A few times a week","PC/laptop","First Person Shooter/Third Person Shooter"
"2024/09/17 8:01:08 PM AST","18-24","Rarely","Playstation","Simulation"
"2024/09/17 8:26:43 PM AST","18-24","A few times a week","PC/laptop","Roleplaying Games (RPG)"
"2024/09/17 8:34:34 PM AST","18-24","A few times a month","Playstation","Roleplaying Games (RPG)"
"2024/09/17 9:26:44 PM AST","18-24","A few times a month","Playstation","First Person Shooter/Third Person Shooter"
"2024/09/17 11:17:07 PM AST","18-24","Rarely","PC/laptop","Roleplaying Games (RPG)"
"2024/09/18 4:41:05 AM AST","18-24","A few times a month","Other","Roleplaying Games (RPG)"